username,tweetsPosted
shsu_lulac4284,3
shsu_mto,1
shsupolisci,1
shsustuaffairs,5
shsutafe,4
shy_vx,1
sierrasheda,2
sirenia_14,1
skylarhinson,31
skyrisenation,1
smilealwaysale,1
smiley_ivan,11
smithlauren17,12
sneeaky_ks,1
soccer_vibe04,7
sofiabereket,1
sofyg9989,14
spencer_dunham,88
sportstalkmatt,1
springtimemotor,3
sprinterlaur,1
ssarah_hodgess,1
stephd0204,1
stephwdbs,1
stopmiracle,1
str8forwardink,1
suarez_carlota,7
superdupermeli2,17
supremebeezy,2
surfergurl16,4
susanhtml,1
sydney_weatherl,2
sylviamijaress,1
tannermoreno69,1
tatersalad0107,3
tatumsp97,1
tatyanajenive,1
tayIIord,3
tayylorrr31_,1
tdot_Jr,1
tebant18,1
techlikeaninja,1
teenagecarmen,1
thatslilclooo,1
the4shaws,1
the_swade1,1
thealyssarobey,18
thebestboxever,18
theinfamousmads,3
thejordanmann,17
thekeithahee,4
therafaelmatos,1
therealbabyday,1023
therenaissauce,1
thetaylornd,21
thettumom,3
throwhoe,5
tjt040774,1
tmj_usa_retail,1
tonyarodger,1
tori_gatling,34
torimcclendon24,26
traezoe,2
trashqueenethan,4
travis_thatdude,15
tre_odom,1
tribe6_cat,1
tulestweets,1
twagley1,3
tx_cso,3
txdxyuki,1
tyakamille,18
tylerreliz,30
tylert_23,1
un_0riginal,134
urja_kc,5
urth2leesha,1
valreneau4,1
vaneciaga,1
vets4vetscoop,5
vidadeadii,1
vintagesoulx3,1
walking_legend2,1
wastefangs,1
watchvinceeat,1
wayneparker1970,1
waynetheboss_,9
wesmo__,30
whittweetsit,1
whoadon,2
will_bmm,1
willdoesit__,2
willie_soward,9
woodallkyle98,1
wright_ashton,1
wtfkennedi,20
wtvralyson,2
wyatthunt1313,5
xSLIMEx_T,1
xSierra__,347
x_LeahSymone,2
xaviertweethard,5
xaxrnglx,46
xkaitlynfox,4
xo_vaneee,90
xoshaniya,1
xotwodnathan,1
xoxoElenaLuna,4
xoxo_mhnk,14
xoxoavo,15
xtinamaromusic,1
yamin_risana,18
yaunabana,77
yazmin_Albaaa,1
yofavj,1
youcouldnever07,3
youngcoop21,2
youngswayze96,9
yowingo,4
yungmarlyn,13
yungshawarma,1
zachwright22_,10
zbrune7,144
zbyvms,2
zyrriiaa,30
